date,equity
2023-05-04,21299.29999999999
2023-05-05,21604.52999999999
2023-05-08,21753.249999999993
2023-05-09,21668.099999999988
2023-05-10,21985.38999999999
2023-05-11,22180.859999999993
2023-05-12,22064.41999999999
2023-05-15,22234.899999999987
2023-05-16,22402.339999999986
2023-05-17,22783.49999999999
2023-05-18,23377.999999999993
2023-05-19,23254.72999999999
2023-05-22,23335.36999999999
2023-05-23,23140.07999999999
2023-05-24,23120.229999999992
2023-05-25,24694.589999999993
2023-05-26,25704.669999999987
2023-05-30,25840.05999999999
2023-05-31,25485.58999999999
2023-06-01,25970.709999999992
2023-06-02,26116.01999999999
2023-06-05,26093.01999999999
2023-06-06,26000.49999999999
2023-06-07,25290.51999999999
2023-06-08,25618.689999999988
2023-06-09,25660.99999999999
2023-06-12,26330.41999999999
2023-06-13,26575.86999999999
2023-06-14,27109.399999999987
2023-06-15,27381.359999999986
2023-06-16,27142.76999999999
2023-06-20,27328.87999999999
2023-06-21,26911.90999999999
2023-06-22,27140.109999999993
2023-06-23,26922.71999999999
2023-06-26,26356.83999999999
2023-06-27,26964.71999999999
2023-06-28,26822.46999999999
2023-06-29,26736.47999999999
2023-06-30,27216.719999999987
2023-07-03,27230.249999999985
2023-07-05,27316.129999999986
2023-07-06,27137.479999999992
2023-07-07,27161.929999999986
2023-07-10,27212.99999999999
2023-07-11,27407.759999999987
2023-07-12,27996.939999999988
2023-07-13,28546.39999999999
2023-07-14,28407.249999999993
2023-07-17,28673.35999999999
2023-07-18,28936.15999999999
2023-07-19,28973.33999999999
2023-07-20,28165.58999999999
2023-07-21,27833.09999999999
2023-07-24,27828.38999999999
2023-07-25,28196.92999999999
2023-07-26,27957.14999999999
2023-07-27,28221.439999999988
2023-07-28,28846.95999999999
2023-07-31,28718.389999999992
2023-08-01,28823.439999999984
2023-08-02,27985.78999999999
2023-08-03,27983.709999999992
2023-08-04,28250.659999999993
2023-08-07,28632.90999999999
2023-08-08,28304.259999999987
2023-08-09,27758.94999999999
2023-08-10,27790.139999999992
2023-08-11,27703.78999999999
2023-08-14,27857.429999999993
2023-08-15,27688.52999999999
2023-08-16,27459.929999999993
2023-08-17,27307.91999999999
2023-08-18,27285.879999999994
2023-08-21,27328.219999999994
2023-08-22,27315.749999999993
2023-08-23,27352.579999999994
2023-08-24,27120.159999999996
2023-08-25,27164.339999999993
2023-08-28,27192.359999999993
2023-08-29,27374.649999999994
2023-08-30,27432.829999999994
2023-08-31,27511.239999999994
2023-09-01,27494.419999999995
2023-09-05,27384.679999999993
2023-09-06,27297.89
2023-09-07,27412.059999999998
2023-09-08,27524.929999999993
2023-09-11,27765.899999999994
